category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Electronics & Tech,Turners,Real price + condition,EX Commercial Aviation - x4 TRUSENSE S200 Laser-based Distance Meters & Case,https://www.turners.co.nz/General-Goods/Search/electronics/other/28214914,,,Very Tidy,5,Unknown functional condition creates uncertainty; Bulk lot (x4 units) offers better per-unit value potential; Storage case adds modest utility,"Buying four untested units with case slightly improves risk-adjusted value via bulk discount, but unknown condition remains the critical blocker on this niche commercial equipment.",3200,,800,,,low,Bulk lot of untested niche equipment appeals to few buyers.,https://www.trademe.co.nz/a/search?search_string=EX%20Commercial%20Aviation%20-%20x4%20TRUSENSE%20S200%20Laser-based%20Distance%20Meters%20%26%20Case,https://www.facebook.com/marketplace/search/?query=EX%20Commercial%20Aviation%20-%20x4%20TRUSENSE%20S200%20Laser-based%20Distance%20Meters%20%26%20Case,https://www.ebay.com.au/sch/i.html?_nkw=EX%20Commercial%20Aviation%20-%20x4%20TRUSENSE%20S200%20Laser-based%20Distance%20Meters%20%26%20Case&LH_Sold=1&LH_Complete=1&_sop=13,
Electronics & Tech,Thorntons,Listing language only (no price data),New Tech & Electronics Auction 20.8.26 TU133178,https://www.thorntons.net.nz/auctions/detail/bw133178,,,,5,,"No descriptive information provided beyond a generic title and lot code; cannot assess stock quality, condition, or lot count.",,,,,,medium,Electronics typically resell well if functional.,https://www.trademe.co.nz/a/search?search_string=electronics,https://www.facebook.com/marketplace/search/?query=electronics,https://www.ebay.com.au/sch/i.html?_nkw=electronics&LH_Sold=1&LH_Complete=1&_sop=13,Caution: no description text; generic title only
Electronics & Tech,Turners,Real price + condition,EX Commercial Aviation - IPn920 Turbo - 900 MHz 1.2 Mbps Wireless Gateway,https://www.turners.co.nz/General-Goods/Search/electronics/other/28214784,,,Very Tidy,4,"Unknown functional condition is major risk; Niche industrial/aviation hardware, limited buyer pool; No current price to assess value",Untested Microhard gateway with no price set and uncertain function makes resale risky; niche industrial equipment with sparse NZ market demand.,1200,,400,,,low,"Highly specialized industrial wireless equipment, small NZ market.",https://www.trademe.co.nz/a/search?search_string=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.facebook.com/marketplace/search/?query=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.ebay.com.au/sch/i.html?_nkw=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Floral,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27092697,,,New,2,No price data provided; Duplicate listing variant; Cannot assess value without bids,Auction has no bidding history or reserve—impossible to judge value; appears to be bulk wholesale stock.,25,,,,,low,Fragrance sachets saturate secondhand market; low perceived resale demand.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral&LH_Sold=1&LH_Complete=1&_sop=13,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Floral,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27092700,,,New,2,No price data provided; Duplicate of previous listing; Cannot assess value without bids,Auction has no bidding history or reserve—impossible to judge value; appears to be bulk wholesale stock.,25,,,,,low,Fragrance sachets saturate secondhand market; low perceived resale demand.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral&LH_Sold=1&LH_Complete=1&_sop=13,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Frangipani,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27092645,,,New,2,No price data provided; Retail wholesale stock; Cannot assess value without bids,Auction has no bidding history or reserve—impossible to judge value; appears to be bulk wholesale stock.,25,,,,,low,Fragrance sachets saturate secondhand market; low perceived resale demand.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Frangipani,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Frangipani,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Frangipani&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,
House & Garden,Turners,Real price + condition,Masport Series 18 Lawnmower,https://www.turners.co.nz/General-Goods/Search/house--garden/gardening-equipment/25258463,12.0,,Average,8,Starts and runs well; Lowest auction price by far; Best value per working unit,Identical specs to peers at less than half their price—excellent value if you can collect.,400,97,80,68,567,medium,Basic garden tools have steady demand; average condition limits appeal.,https://www.trademe.co.nz/a/search?search_string=Masport%20Series%2018%20Lawnmower,https://www.facebook.com/marketplace/search/?query=Masport%20Series%2018%20Lawnmower,https://www.ebay.com.au/sch/i.html?_nkw=Masport%20Series%2018%20Lawnmower&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
House & Garden,Turners,Real price + condition,Solo 435 Classic Backpack Sprayer,https://www.turners.co.nz/General-Goods/Search/house--garden/gardening-equipment/25258369,2.0,,Average,8,"Exceptional opening price; Larger 20L capacity, better spec; Collection location only","Solo 435 at $2 is exceptional value—larger tank than competitors, and even untested at that price far undercuts typical $80–100 retail.",95,98,45,43,2150,medium,"Popular, durable sprayer model but untested condition and collection-only pickup limit immediate resale speed.",https://www.trademe.co.nz/a/search?search_string=Solo%20435%20Classic%20Backpack%20Sprayer,https://www.facebook.com/marketplace/search/?query=Solo%20435%20Classic%20Backpack%20Sprayer,https://www.ebay.com.au/sch/i.html?_nkw=Solo%20435%20Classic%20Backpack%20Sprayer&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
House & Garden,Turners,Real price + condition,Masport Series 18 Lawnmower,https://www.turners.co.nz/General-Goods/Search/house--garden/gardening-equipment/25258459,24.0,,Average,6,Starts and runs but cracked catch; Mid-range pricing of three units; Damage impacts usability slightly,Cracked grass catcher reduces value and usability compared to peers; fair price reflects defect.,400,94,65,41,171,medium,Basic garden tools have steady demand; visible damage and catch issue limit buyers.,https://www.trademe.co.nz/a/search?search_string=Masport%20Series%2018%20Lawnmower,https://www.facebook.com/marketplace/search/?query=Masport%20Series%2018%20Lawnmower,https://www.ebay.com.au/sch/i.html?_nkw=Masport%20Series%2018%20Lawnmower&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
,,,,,,,,,,,,,,,,,,,,,
Sport & Leisure,Turners,Real price + condition,Kombat Spirit Judo Kit - White - Size  *NEW*,https://www.turners.co.nz/General-Goods/Search/sport--leisure/martial-arts/26161086,,,New,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Kombat%20Spirit%20Judo%20Kit%20-%20White%20-%20Size%20%20%2ANEW%2A,https://www.facebook.com/marketplace/search/?query=Kombat%20Spirit%20Judo%20Kit%20-%20White%20-%20Size%20%20%2ANEW%2A,https://www.ebay.com.au/sch/i.html?_nkw=Kombat%20Spirit%20Judo%20Kit%20-%20White%20-%20Size%20%20%2ANEW%2A&LH_Sold=1&LH_Complete=1&_sop=13,
Sport & Leisure,Turners,Real price + condition,Kombat Spirit Judo Kit - White 350G - Size 5/180 *NEW - RRP $120*,https://www.turners.co.nz/General-Goods/Search/sport--leisure/martial-arts/28181133,,,New,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Kombat%20Spirit%20Judo%20Kit%20-%20White%20350G%20-%20Size%205/180%20%2ANEW%20-%20RRP%20%24120%2A,https://www.facebook.com/marketplace/search/?query=Kombat%20Spirit%20Judo%20Kit%20-%20White%20350G%20-%20Size%205/180%20%2ANEW%20-%20RRP%20%24120%2A,https://www.ebay.com.au/sch/i.html?_nkw=Kombat%20Spirit%20Judo%20Kit%20-%20White%20350G%20-%20Size%205/180%20%2ANEW%20-%20RRP%20%24120%2A&LH_Sold=1&LH_Complete=1&_sop=13,
Sport & Leisure,Turners,Real price + condition,Kombat Spirit Judo Kit - White 750GSM - Size 5/180  *NEW - RRP $215*,https://www.turners.co.nz/General-Goods/Search/sport--leisure/martial-arts/28181146,,,New,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Kombat%20Spirit%20Judo%20Kit%20-%20White%20750GSM%20-%20Size%205/180%20%20%2ANEW%20-%20RRP%20%24215%2A,https://www.facebook.com/marketplace/search/?query=Kombat%20Spirit%20Judo%20Kit%20-%20White%20750GSM%20-%20Size%205/180%20%20%2ANEW%20-%20RRP%20%24215%2A,https://www.ebay.com.au/sch/i.html?_nkw=Kombat%20Spirit%20Judo%20Kit%20-%20White%20750GSM%20-%20Size%205/180%20%20%2ANEW%20-%20RRP%20%24215%2A&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,
Toys & Games,Thorntons,Listing language only (no price data),Toys & More Auction 12.8.26 OS133176,https://www.thorntons.net.nz/auctions/detail/bw133176,,,,4,,No descriptive information provided beyond date and lot number; cannot assess content or condition signals.,,,,,,medium,Toys typically resell well in NZ.,https://www.trademe.co.nz/a/search?search_string=toys,https://www.facebook.com/marketplace/search/?query=toys,https://www.ebay.com.au/sch/i.html?_nkw=toys&LH_Sold=1&LH_Complete=1&_sop=13,Caution: no description text
,,,,,,,,,,,,,,,,,,,,,
Trucks & Machinery,Turners,Real price + condition,2014 Tennant T3 Scrubber Sweeper,https://www.turners.co.nz/Trucks-Machinery/Used-Trucks-and-Machinery-for-Sale/tennant/t3-scrubber/28292312,800.0,,,4,"Commercial equipment, niche market; No condition/testing details provided; Price unclear without machine age/hours","Without condition assessment, testing confirmation, or maintenance history for a 10-year-old commercial scrubber, valuation is speculative; $800 could be fair or poor depending on operational hours and functionality.",15000,95,1200,400,50,low,"Industrial cleaning equipment has limited NZ buyer pool, slow turnover.",https://www.trademe.co.nz/a/search?search_string=2014%20Tennant%20T3%20Scrubber%20Sweeper,https://www.facebook.com/marketplace/search/?query=2014%20Tennant%20T3%20Scrubber%20Sweeper,https://www.ebay.com.au/sch/i.html?_nkw=2014%20Tennant%20T3%20Scrubber%20Sweeper&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only
