category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Electronics & Tech,Turners,Real price + condition,EX Commercial Aviation - IPn920 Turbo - 900 MHz 1.2 Mbps Wireless Gateway,https://www.turners.co.nz/General-Goods/Search/electronics/other/28214784,,,Very Tidy,Christchurch,4,Unknown functional condition is major risk; Niche industrial wireless gateway with small buyer pool; No price data makes value assessment impossible,"Unknown functionality on industrial hardware is a deal-breaker; without testing confirmation or price visibility, this is speculative and high-risk.",2500,,800,,,low,"Niche industrial equipment, untested condition deters buyers.",https://www.trademe.co.nz/a/search?search_string=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.facebook.com/marketplace/search/?query=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.ebay.com.au/sch/i.html?_nkw=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway&LH_Sold=1&LH_Complete=1&_sop=13,
Electronics & Tech,Turners,Real price + condition,EX Commercial Aviation - IPn920 Turbo - 900 MHz 1.2 Mbps Wireless Gateway,https://www.turners.co.nz/General-Goods/Search/electronics/other/28214807,,,Very Tidy,Christchurch,4,Unknown functional condition is major risk; Niche industrial wireless gateway with small buyer pool; No price data makes value assessment impossible,"Unknown functionality on industrial hardware is a deal-breaker; without testing confirmation or price visibility, this is speculative and high-risk.",2500,,800,,,low,"Niche industrial equipment, untested condition deters buyers.",https://www.trademe.co.nz/a/search?search_string=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.facebook.com/marketplace/search/?query=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.ebay.com.au/sch/i.html?_nkw=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway&LH_Sold=1&LH_Complete=1&_sop=13,
Electronics & Tech,Turners,Real price + condition,EX Commercial Aviation - IPn920 Turbo - 900 MHz 1.2 Mbps Wireless Gateway,https://www.turners.co.nz/General-Goods/Search/electronics/other/28214824,,,Very Tidy,Christchurch,4,Unknown functional condition is major risk; Niche industrial wireless gateway with small buyer pool; No price data makes value assessment impossible,"Unknown functionality on industrial hardware is a deal-breaker; without testing confirmation or price visibility, this is speculative and high-risk.",2500,,800,,,low,"Niche industrial equipment, untested condition deters buyers.",https://www.trademe.co.nz/a/search?search_string=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.facebook.com/marketplace/search/?query=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway,https://www.ebay.com.au/sch/i.html?_nkw=EX%20Commercial%20Aviation%20-%20IPn920%20Turbo%20-%20900%20MHz%201.2%20Mbps%20Wireless%20Gateway&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Floral,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27092697,,,New,Christchurch,3,"No price or bid data available; Bulk retail stock, niche appeal; Unclear auction status/reserve","Cannot assess value; no current or buy-now price listed, and retail display stock appeals mainly to resellers or businesses rather than individual buyers.",35,,20,,,low,Retail display stock; limited consumer demand for bulk fragrance sachets.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral&LH_Sold=1&LH_Complete=1&_sop=13,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Floral,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27092700,,,New,Christchurch,3,No price or bid data available; Duplicate listing (identical to item 2); Unclear auction status/reserve,"Cannot assess value; no current or buy-now price listed, and this is a duplicate listing reducing perceived legitimacy.",35,,20,,,low,Retail display stock; limited consumer demand for bulk fragrance sachets.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Floral&LH_Sold=1&LH_Complete=1&_sop=13,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Frangipani,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27092645,,,New,Christchurch,3,"No price or bid data available; Bulk retail stock, niche appeal; Unclear auction status/reserve","Cannot assess value; no current or buy-now price listed, and retail display stock appeals mainly to resellers or businesses rather than individual buyers.",35,,20,,,low,Retail display stock; limited consumer demand for bulk fragrance sachets.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Frangipani,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Frangipani,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Frangipani&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,
House & Garden,Turners,Real price + condition,Solo 435 Classic Backpack Sprayer,https://www.turners.co.nz/General-Goods/Search/house--garden/gardening-equipment/25258369,3.0,,Average,Turners Palmerston North Trucks & Machinery,9,"Exceptional price for larger capacity; 20L vs 16L capacity upgrade; Complete unit, no missing parts","At just $3 for a larger-capacity 20L model with no reported defects, this is exceptional value—likely an auction entry error or clearance.",200,98,95,92,3067,high,"Larger capacity, complete condition, and ultra-low starting price make this highly attractive.",https://www.trademe.co.nz/a/search?search_string=Solo%20435%20Classic%20Backpack%20Sprayer,https://www.facebook.com/marketplace/search/?query=Solo%20435%20Classic%20Backpack%20Sprayer,https://www.ebay.com.au/sch/i.html?_nkw=Solo%20435%20Classic%20Backpack%20Sprayer&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
House & Garden,Turners,Real price + condition,Masport Series 18 Lawnmower,https://www.turners.co.nz/General-Goods/Search/house--garden/gardening-equipment/25258463,12.0,,Average,Turners Palmerston North Trucks & Machinery,8,"Exceptional price for working unit; Starts and runs, average condition; Best value of the three",Remarkably cheap ($12) for a functional Masport that powers on; untested blades are minor concern given the bargain price.,400,97,100,88,733,medium,Strong condition-to-price ratio; average condition and untested blades are only minor headwinds.,https://www.trademe.co.nz/a/search?search_string=Masport%20Series%2018%20Lawnmower,https://www.facebook.com/marketplace/search/?query=Masport%20Series%2018%20Lawnmower,https://www.ebay.com.au/sch/i.html?_nkw=Masport%20Series%2018%20Lawnmower&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
House & Garden,Turners,Real price + condition,Solo Nova 424 Backpack Sprayer,https://www.turners.co.nz/General-Goods/Search/house--garden/gardening-equipment/25258382,24.0,,Average,Turners Palmerston North Trucks & Machinery,7,Well below typical retail price; No missing parts reported; Average condition acceptable for sprayer,"At $24 for an untested but complete 16L backpack sprayer, this is strong value; the identical model at $72 with a missing nozzle makes this the clear winner.",180,87,85,61,254,medium,Functional sprayers sell steadily; untested status and local pickup only slightly limit reach.,https://www.trademe.co.nz/a/search?search_string=Solo%20Nova%20424%20Backpack%20Sprayer,https://www.facebook.com/marketplace/search/?query=Solo%20Nova%20424%20Backpack%20Sprayer,https://www.ebay.com.au/sch/i.html?_nkw=Solo%20Nova%20424%20Backpack%20Sprayer&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes unknown
,,,,,,,,,,,,,,,,,,,,,,
Sport & Leisure,Turners,Real price + condition,Kombat Spirit Judo Kit - White - Size  *NEW*,https://www.turners.co.nz/General-Goods/Search/sport--leisure/martial-arts/26161086,,,New,Christchurch,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Kombat%20Spirit%20Judo%20Kit%20-%20White%20-%20Size%20%20%2ANEW%2A,https://www.facebook.com/marketplace/search/?query=Kombat%20Spirit%20Judo%20Kit%20-%20White%20-%20Size%20%20%2ANEW%2A,https://www.ebay.com.au/sch/i.html?_nkw=Kombat%20Spirit%20Judo%20Kit%20-%20White%20-%20Size%20%20%2ANEW%2A&LH_Sold=1&LH_Complete=1&_sop=13,
Sport & Leisure,Turners,Real price + condition,Kombat Spirit Judo Kit - White 350G - Size 5/180 *NEW - RRP $120*,https://www.turners.co.nz/General-Goods/Search/sport--leisure/martial-arts/28181133,,,New,Christchurch,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Kombat%20Spirit%20Judo%20Kit%20-%20White%20350G%20-%20Size%205/180%20%2ANEW%20-%20RRP%20%24120%2A,https://www.facebook.com/marketplace/search/?query=Kombat%20Spirit%20Judo%20Kit%20-%20White%20350G%20-%20Size%205/180%20%2ANEW%20-%20RRP%20%24120%2A,https://www.ebay.com.au/sch/i.html?_nkw=Kombat%20Spirit%20Judo%20Kit%20-%20White%20350G%20-%20Size%205/180%20%2ANEW%20-%20RRP%20%24120%2A&LH_Sold=1&LH_Complete=1&_sop=13,
Sport & Leisure,Turners,Real price + condition,Kombat Spirit Judo Kit - White 750GSM - Size 5/180  *NEW - RRP $215*,https://www.turners.co.nz/General-Goods/Search/sport--leisure/martial-arts/28181146,,,New,Christchurch,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Kombat%20Spirit%20Judo%20Kit%20-%20White%20750GSM%20-%20Size%205/180%20%20%2ANEW%20-%20RRP%20%24215%2A,https://www.facebook.com/marketplace/search/?query=Kombat%20Spirit%20Judo%20Kit%20-%20White%20750GSM%20-%20Size%205/180%20%20%2ANEW%20-%20RRP%20%24215%2A,https://www.ebay.com.au/sch/i.html?_nkw=Kombat%20Spirit%20Judo%20Kit%20-%20White%20750GSM%20-%20Size%205/180%20%20%2ANEW%20-%20RRP%20%24215%2A&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,
Toys & Games,Thorntons,Listing language only (no price data),Toys & More Auction 12.8.26 OS133176,https://www.thorntons.net.nz/auctions/detail/bw133176,,,,,4,,"No descriptive content provided—impossible to assess lot quality, condition, or auction appeal.",,,,,,medium,Toys are typically quick-selling items in NZ.,https://www.trademe.co.nz/a/search?search_string=toys,https://www.facebook.com/marketplace/search/?query=toys,https://www.ebay.com.au/sch/i.html?_nkw=toys&LH_Sold=1&LH_Complete=1&_sop=13,Caution: no description text; generic title only
,,,,,,,,,,,,,,,,,,,,,,
Trucks & Machinery,Turners,Real price + condition,2014 Tennant T3 Scrubber Sweeper,https://www.turners.co.nz/Trucks-Machinery/Used-Trucks-and-Machinery-for-Sale/tennant/t3-scrubber/28292312,800.0,,,Turners Palmerston North Trucks & Machinery,3,Industrial equipment requires verification; No condition or testing details provided; Price unclear without machine state,"Without condition details or testing confirmation, a $800 industrial scrubber represents uncertain value; typical used T3s in good working order sell $1200–$2000 NZD regionally.",5000,84,1200,400,50,medium,"Steady demand for commercial cleaning equipment, but buyer pool limited to businesses.",https://www.trademe.co.nz/a/search?search_string=2014%20Tennant%20T3%20Scrubber%20Sweeper,https://www.facebook.com/marketplace/search/?query=2014%20Tennant%20T3%20Scrubber%20Sweeper,https://www.ebay.com.au/sch/i.html?_nkw=2014%20Tennant%20T3%20Scrubber%20Sweeper&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only
